id;first_name;last_name;contact_no;date_of_birth;gender;email;subject;password;username;guardian_name;address;guardian_contact;guardian_email
1;Ryder;Fadel;out misspend amid;2024-05-05;how;Otis.Beatty@yahoo.com;finally gosh;meaty;lark;transfer parole concerning;readily;whimsical ha;however as yieldingly
2;Kallie;Ryan;how;2024-05-05;about ew who;Ramon_Turcotte@yahoo.com;fatherly;dazzle;busy regarding;loftily pioneer difficult;pleasure deadly upset;woodshed phew;aw whose
3;Katheryn;Ward-Johns;brr;2024-05-05;observation broadly sorrowful;Henry.Kassulke@gmail.com;bleakly jagged;premium;once gracious;which yowza defame;shorten;wildly save;for speed
4;Coy;Gulgowski;board;2024-05-05;sans intensely;Germaine_Hane69@hotmail.com;flower;dearly;yesterday;beneath oh cephalopod;short-term;landmine unbearably webbed;continually
5;Alejandra;Armstrong;meanwhile ham;2024-05-05;indeed radio committee;Lauretta41@hotmail.com;lanky choker nor;uniform since huzzah;coolly;whether;instead till vastly;uh-huh whether though;past buzzing
6;Michaela;Parisian;pfft install;2024-05-06;limited for;Reva68@gmail.com;jogging;what only;brr frankly;duh complicated;maniac atop ick;sans indeed squat;unwrap ha politicize
7;Marco;Kunde;finally;2024-05-05;after while radicalize;Verna34@yahoo.com;brr what whose;sate nor;anenst;yum among;toboggan gosh defenseless;failing;smart
8;Dayne;Franey;ha perish;2024-05-06;guard;Malinda.Aufderhar94@gmail.com;atop loosely;drat whose;instead bulk;forenenst woot hence;psst lavish;whenever;besides
9;Tyrique;McGlynn;clearly;2024-05-06;badly;Elisa_Glover@hotmail.com;pristine;limb barrel than;failing shocking;till;cheerfully ouch quarrelsomely;classic yowza siphon;supposing until
10;Joyce;Torp;recruit calm on;2024-05-05;bug recompense;Isabelle_Raynor0@hotmail.com;from arrest language;poorly bough if;after since;now ah relaxation;readily from;truly;modulo aha
